source_rel,width,height,mode,png_bytes
images/CAGR/Letters/Bold1/bold1_b.img.xbx,64,64,RGBA,883
images/CAGR/Letters/Bold1/bold1_c.img.xbx,64,64,RGBA,703
images/CAGR/Letters/Bold1/bold1_d.img.xbx,64,64,RGBA,870
images/CAGR/Letters/Bold1/bold1_e.img.xbx,64,64,RGBA,647
images/CAGR/Letters/Bold1/bold1_f.img.xbx,64,64,RGBA,635
images/CAGR/Letters/Bold1/bold1_g.img.xbx,64,64,RGBA,856
images/CAGR/Letters/Bold1/bold1_h.img.xbx,64,64,RGBA,886
images/CAGR/Letters/Bold1/bold1_i.img.xbx,64,64,RGBA,624
images/CAGR/Letters/Bold1/bold1_j.img.xbx,64,64,RGBA,739
images/CAGR/Letters/Bold1/bold1_k.img.xbx,64,64,RGBA,981
images/CAGR/Letters/Bold1/bold1_l.img.xbx,64,64,RGBA,581
images/CAGR/Letters/Bold1/bold1_m.img.xbx,64,64,RGBA,1061
images/CAGR/Letters/Bold1/bold1_n.img.xbx,64,64,RGBA,960
images/CAGR/Letters/Bold1/bold1_o.img.xbx,64,64,RGBA,898
images/CAGR/Letters/Bold1/bold1_p.img.xbx,64,64,RGBA,759
images/CAGR/Letters/Bold1/bold1_q.img.xbx,64,64,RGBA,906
images/CAGR/Letters/Bold1/bold1_r.img.xbx,64,64,RGBA,872
images/CAGR/Letters/Bold1/bold1_s.img.xbx,64,64,RGBA,750
images/CAGR/Letters/Bold1/bold1_t.img.xbx,64,64,RGBA,599
images/CAGR/Letters/Bold1/bold1_u.img.xbx,64,64,RGBA,860
images/CAGR/Letters/Bold1/bold1_v.img.xbx,64,64,RGBA,813
images/CAGR/Letters/Bold1/bold1_w.img.xbx,64,64,RGBA,925
images/CAGR/Letters/Bold1/bold1_x.img.xbx,64,64,RGBA,915
images/CAGR/Letters/Bold1/bold1_y.img.xbx,64,64,RGBA,727
images/CAGR/Letters/Bold1/bold1_z.img.xbx,64,64,RGBA,771
images/CAGR/Letters/Graf1/graf1_0.img.xbx,64,64,RGBA,1286
images/CAGR/Letters/Graf1/graf1_1.img.xbx,64,64,RGBA,924
images/CAGR/Letters/Graf1/graf1_2.img.xbx,64,64,RGBA,1159
images/CAGR/Letters/Graf1/graf1_3.img.xbx,64,64,RGBA,960
images/CAGR/Letters/Graf1/graf1_4.img.xbx,64,64,RGBA,833
images/CAGR/Letters/Graf1/graf1_5.img.xbx,64,64,RGBA,1291
images/CAGR/Letters/Graf1/graf1_6.img.xbx,64,64,RGBA,1145
images/CAGR/Letters/Graf1/graf1_7.img.xbx,64,64,RGBA,798
images/CAGR/Letters/Graf1/graf1_8.img.xbx,64,64,RGBA,1035
images/CAGR/Letters/Graf1/graf1_9.img.xbx,64,64,RGBA,961
images/CAGR/Letters/Graf1/graf1_a.img.xbx,64,64,RGBA,1259
images/CAGR/Letters/Graf1/graf1_b.img.xbx,64,64,RGBA,1219
images/CAGR/Letters/Graf1/graf1_c.img.xbx,64,64,RGBA,983
images/CAGR/Letters/Graf1/graf1_d.img.xbx,64,64,RGBA,988
images/CAGR/Letters/Graf1/graf1_e.img.xbx,64,64,RGBA,1311
images/CAGR/Letters/Graf1/graf1_f.img.xbx,64,64,RGBA,1209
images/CAGR/Letters/Graf1/graf1_g.img.xbx,64,64,RGBA,1264
images/CAGR/Letters/Graf1/graf1_h.img.xbx,64,64,RGBA,1045
images/CAGR/Letters/Graf1/graf1_i.img.xbx,64,64,RGBA,1050
images/CAGR/Letters/Graf1/graf1_j.img.xbx,64,64,RGBA,1113
images/CAGR/Letters/Graf1/graf1_k.img.xbx,64,64,RGBA,1158
images/CAGR/Letters/Graf1/graf1_l.img.xbx,64,64,RGBA,1012
images/CAGR/Letters/Graf1/graf1_m.img.xbx,64,64,RGBA,1256
images/CAGR/Letters/Graf1/graf1_n.img.xbx,64,64,RGBA,1336
images/CAGR/Letters/Graf1/graf1_o.img.xbx,64,64,RGBA,1451
images/CAGR/Letters/Graf1/graf1_p.img.xbx,64,64,RGBA,967
images/CAGR/Letters/Graf1/graf1_q.img.xbx,64,64,RGBA,1420
images/CAGR/Letters/Graf1/graf1_r.img.xbx,64,64,RGBA,1300
images/CAGR/Letters/Graf1/graf1_s.img.xbx,64,64,RGBA,1356
images/CAGR/Letters/Graf1/graf1_t.img.xbx,64,64,RGBA,1413
images/CAGR/Letters/Graf1/graf1_u.img.xbx,64,64,RGBA,1098
images/CAGR/Letters/Graf1/graf1_v.img.xbx,64,64,RGBA,847
